"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;" ";"imageee";1;" ";;;
2;"SPI,SWD,UART";"PinHeader_1x04_P1.27mm_Vertical";3;"Conn_01x04";;;
3;"J4,J3";"PinHeader_2x16_P2.54mm_Vertical";2;"Conn_02x16_Odd_Even";;;
4;"Y1";"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm";1;"16Mhz";;;
5;"3.3 VREG";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
6;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32F746VGTx";;;
7;"R2_USB1,R1_USB2";"R_0402_1005Metric";2;"22";;;
8;"R2_TX1,R1_RX1,R1_PC13,R1_L1";"R_0402_1005Metric";4;"330";;;
9;"R2_SCL1,R1_SDA1,R1_RST1,R1_BOOT1";"R_0402_1005Metric";4;"10k";;;
10;"R1_USB3,R1_USB1";"R_0402_1005Metric";2;"5.1k";;;
11;"I2C,CAN";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
12;"USBC";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle";;;
13;"J1";"microSD_HC_Hirose_DM3D-SF";1;"Micro_SD_Card";;;
14;"H3,H2,H1,H0";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
15;"ESD";"SOT-23";1;"CM1213A-01SO";;;
16;"LED,TX,RX,D1";"LED_0603_1608Metric";4;"LED";;;
17;"C7_ST2,C6_ST1,C5_ST1,C4_ST1,C3_ST1,C2_ST1,C1_ST1";"C_0402_1005Metric";7;"100n";;;
18;"C7_ST1";"C_0402_1005Metric";1;"1u";;;
19;"C2_VREG1,C1_VREG1";"C_0402_1005Metric";2;"10u";;;
20;"C1_VCAP2,C1_VCAP1";"C_0402_1005Metric";2;"4.7u";;;
21;"RESET,BOOT";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_DIP_x01";;;
